yday,change in price
4.0,4.049927
5.0,-26.449951
6.0,-47.170044
7.0,-21.059937
8.0,1.640015
11.0,15.01001
12.0,-48.400025
13.0,31.559937
14.0,-41.51001
15.0,1.0
19.0,-22.0
20.0,9.660034
21.0,37.910034
22.0,-29.820068
25.0,26.550049
26.0,-20.680054
27.0,10.410034
28.0,46.880005
29.0,-0.859985
32.0,-36.349976
33.0,9.5
34.0,2.919922
35.0,-35.399902
36.0,-26.610108
39.0,-1.22998
40.0,-0.349976
41.0,-22.780029
42.0,35.700073
43.0,30.799927
47.0,31.23999
48.0,-8.98999
49.0,-0.0499269999998
50.0,27.719971
53.0,-24.22998
54.0,8.530029
55.0,21.899902
56.0,-3.649902
57.0,-15.820069
60.0,46.119996
61.0,8.099975
62.0,6.950073
63.0,6.589966
64.0,1.77002
67.0,-22.5
68.0,10.0
69.0,0.309936
70.0,32.619995
71.0,-2.549926
74.0,-3.709961
75.0,11.289917
76.0,13.369995
77.0,8.990112
78.0,2.02002
81.0,-1.800049
82.0,-13.090088
83.0,-0.77002
84.0,1.110108
88.0,17.959961
89.0,8.939941
90.0,-4.209961
91.0,13.040039
92.0,-6.650146
95.0,-20.959839
96.0,21.489868
97.0,-24.749878
98.0,5.689942
99.0,-5.609986
102.0,19.729981
103.0,20.699951
104.0,0.360107
105.0,-2.050049
106.0,13.610108
109.0,6.459961
110.0,1.599853
111.0,-10.919922
112.0,0.100098
113.0,-3.790039
116.0,3.909912
117.0,3.449951
118.0,-19.339843
119.0,-10.51001
120.0,16.129883
123.0,-18.059815
124.0,-12.25
125.0,-0.490234000001
126.0,6.51001
127.0,1.550048
130.0,25.699952
131.0,-19.929932
132.0,-0.349854
133.0,-17.500122
134.0,20.049927
137.0,-19.449951
138.0,0.420044
139.0,-7.589966
140.0,12.280029
141.0,-4.280029
144.0,28.02002
145.0,14.47998
146.0,-0.439941
147.0,8.959961
148.0,0.0
